gender,age,height,weight
여,16,1578,55.5
여,63,1505,59
여,35,1628,51.3
여,62,1584,79.7
여,51,1469,53.5
여,49,1595,63.4
여,20,1600,53.8
여,20,1614,42.3
여,46,1544,62.2
여,33,1678,60.6
여,34,1654,75
여,67,1545,57.1
여,59,1533,65.4
여,36,1630,53.5
여,37,1572,61.1
여,60,1556,56.5
여,52,1675,59.5
여,59,1634,58.4
여,55,1580,62.2
여,56,1575,65.4
여,62,1544,56.3
여,24,1596,54.7
여,46,1514,57
여,67,1401,61.5
여,26,1600,58.9
여,38,1650,53.8
여,26,1690,68.1
여,54,1545,61.4
여,31,1660,64.1
여,37,1638,54
여,33,1566,50.2
여,35,1586,56.4
여,57,1487,55.3
여,56,1588,59.8
여,33,1668,64.1
여,52,1518,53.9
여,65,1529,62.9
여,36,1580,46.6
여,49,1600,57.4
여,49,1562,52.7
여,55,1518,55.8
여,55,1456,51.9
여,52,1539,53.5
여,60,1536,61.3
여,57,1470,58.7
여,45,1505,49
여,67,1479,50.6
여,61,1519,43.9
여,66,1482,55.7
여,47,1573,69.7
여,44,1571,66.3
여,50,1546,50.1
여,22,1678,67.1
여,52,1622,86.2
여,41,1601,59.8
여,62,1538,78.8
여,50,1582,60.7
여,53,1533,47
여,59,1478,45.6
여,53,1510,47.5
여,56,1518,61.2
여,57,1479,50.9
여,48,1543,63.3
여,51,1528,72.8
여,48,1650,60.2
여,55,1484,57.9
여,62,1468,46
여,50,1548,53.5
여,50,1521,50.9
여,44,1589,53.7
여,48,1509,52
여,51,1522,69.1
여,59,1556,50.8
여,55,1487,48.4
여,43,1655,59.6
여,45,1529,53.8
여,40,1500,58.5
여,53,1567,52.6
여,31,1662,62.2
여,37,1691,83.5
여,38,1560,56.7
여,36,1563,47.6
여,37,1594,60.4
여,43,1598,62.8
여,36,1655,53.4
여,51,1615,73.9
여,50,1502,62.1
여,21,1595,53
여,21,1557,55.7
여,47,1604,62
여,47,1534,55.4
여,50,1619,78
여,37,1574,57
여,35,1647,67.4
여,35,1612,52.6
여,37,1608,55
여,35,1519,58.1
여,34,1632,56.4
여,35,1622,54.6
여,48,1558,76.3
여,16,1647,52.4
여,51,1508,54.6
여,61,1518,46.3
여,48,1507,65.6
여,44,1505,73.8
여,51,1640,55
여,50,1594,54.5
여,66,1495,55.2
여,37,1630,53.5
여,47,1522,64.7
여,46,1523,49.3
여,49,1542,57.1
여,44,1708,65.2
여,55,1481,59.1
여,59,1510,60.5
여,42,1590,89.3
여,46,1490,62.7
여,53,1580,60.6
여,56,1665,65.4
여,47,1545,67.3
여,36,1700,69.9
여,61,1490,56.1
여,51,1527,58.4
여,38,1620,51.7
여,42,1477,44.3
여,38,1478,44.9
여,51,1553,62
여,36,1581,49.5
여,53,1525,64.8
여,62,1521,63.9
여,59,1544,65.1
여,53,1526,61
여,60,1564,55.8
여,56,1620,56.3
여,63,1437,47.7
여,62,1629,71.6
여,50,1481,59.8
여,37,1764,80.4
여,40,1508,46
여,18,1560,69.8
여,18,1580,88.8
여,55,1526,47.7
여,56,1460,59.4
여,45,1605,57.9
여,56,1534,58.1
여,66,1478,47.7
여,54,1550,61.9
여,38,1589,51.2
여,43,1510,57.8
여,35,1574,56.3
여,34,1606,57.8
여,40,1582,72.8
남,56,1644,78.3
남,63,1704,64.5
남,60,1601,69.5
남,44,1713,78.2
남,54,1721,82.3
남,23,1714,70.3
남,23,1731,74.7
남,23,1730,95
남,16,1799,99.8
남,68,1533,49.8
남,57,1709,72.4
남,18,1706,72.2
남,56,1580,46
남,69,1677,53.7
남,18,1751,63.7
남,24,1685,70
남,46,1722,62.9
남,19,1657,52.6
남,55,1688,64.1
남,19,1721,74.9
남,55,1619,67.4
남,18,1635,57
남,54,1715,49.6
남,33,1642,63.4
남,61,1623,67.3
남,16,1763,60.3
남,17,1707,73.4
남,29,1714,58.6
남,48,1667,67.5
남,35,1810,80.1
남,66,1670,66.3
남,57,1722,74.4
남,58,1620,61.1
남,43,1740,73.2
남,36,1787,78.2
남,19,1696,71.5
남,16,1720,50.6
남,16,1724,55.1
남,16,1760,60.6
남,16,1745,60.6
남,52,1664,77.5
남,18,1750,58.3
남,19,1768,69.8
남,18,1755,65.4
남,18,1731,54.1
남,18,1870,65.2
남,40,1700,66.1
남,43,1676,71.6
남,35,1708,60.7
남,22,1716,73.9
남,61,1622,53.3
남,36,1655,72.2
남,51,1636,83.4
남,34,1728,83.7
남,58,1651,56.5
남,49,1713,79.4
남,22,1704,69.4
남,45,1637,73
남,19,1677,79.4
남,19,1701,56.5
남,68,1702,73.2
남,19,1670,66.6
남,18,1756,61.3
남,18,1645,60.5
남,18,1685,61.2
남,18,1701,55.3
남,17,1820,117.3
남,16,1635,48.3
남,16,1561,62.7
남,16,1685,52
남,16,1806,69
남,16,1664,47.2
남,17,1734,61.2
남,17,1745,111
남,17,1718,60.7
남,47,1734,74.6
남,19,1883,65.8
남,25,1786,75.6
남,45,1712,76.8
남,46,1680,64.5
남,26,1698,76.7
남,26,1641,64.9
남,43,1620,60.8
여,59,1581,59.4
여,54,1604,60.7
여,47,1514,52.9
여,47,1585,72.1
여,51,1565,64.3
여,50,1480,50.7
여,54,1580,54.8
여,30,1723,58.9
여,18,1710,64.3
여,18,1587,47.7
여,47,1479,48.6
여,69,1609,62.4
여,54,1444,58.9
여,37,1560,48.7
여,37,1580,50.5
여,19,1531,49.7
여,19,1638,62.5
여,46,1575,49.5
여,49,1654,63.9
여,38,1610,49.5
여,50,1628,61.7
여,46,1646,54.2
여,51,1541,56.8
여,50,1585,65.7
여,49,1580,54.3
여,43,1553,53.6
여,53,1508,67.3
여,48,1580,58.4
여,54,1580,56.2
여,53,1539,47.5
여,51,1583,57
여,62,1499,48
여,66,1547,57
여,68,1537,53
여,36,1591,57.6
여,42,1521,56.5
여,38,1440,42.8
여,33,1549,49.9
여,19,1580,85.6
여,17,1592,45.7
여,42,1550,39.5
여,42,1580,54.6
여,67,1527,56.1
여,60,1495,51.6
여,60,1630,66.4
여,60,1604,58.8
여,58,1510,62.9
여,57,1500,44.2
여,42,1596,61.5
여,16,1571,39.8
여,44,1541,53.8
여,66,1565,66.3
여,45,1612,60.9
여,57,1583,60.7
여,49,1585,63.6
여,44,1534,49.2
여,38,1664,67.7
여,48,1657,63.3
여,59,1735,61.9
여,46,1520,68.2
여,41,1622,48.6
여,53,1525,68.4
여,53,1592,64.3
여,46,1591,51.8
여,51,1684,72
여,45,1460,52.2
여,59,1519,57
여,20,1555,48.3
여,38,1565,50.5
여,59,1528,59.9
여,34,1635,61.1
여,47,1580,65
여,43,1605,64.1
여,43,1589,76.6
여,19,1531,38.7
여,45,1593,56.7
여,53,1620,58.7
여,22,1565,46.5
여,55,1608,55
여,66,1440,50.6
여,45,1560,58.5
여,45,1504,46.3
여,31,1526,55.4
여,39,1650,62.1
여,47,1648,50.6
여,19,1674,64
여,18,1616,64.9
여,66,1433,39.4
여,67,1535,67.7
여,69,1492,48
여,57,1476,54.2
여,54,1565,69.4
여,44,1524,55.5
여,66,1586,64.6
여,66,1580,52.9
여,66,1554,62.9
여,63,1596,58.6
여,38,1593,50
여,61,1594,59.2
여,33,1570,57.9
여,60,1580,52
여,41,1665,55.6
여,53,1552,50.7
여,49,1499,55.4
여,47,1553,51.3
